t 1 2 jV0100 
0 0 0 0
0.01 0 0 0
0.02 10 0.0497512 -1.99005
0.03 10 0.148759 -1.97025
0.04 10 0.246781 -1.95064
0.05 10 0.343828 -1.93123
0.06 10 0.439909 -1.91202
0.07 10 0.535035 -1.89299
0.08 10 0.629213 -1.87416
0.09 10 0.722455 -1.85551
0.1 10 0.814769 -1.83705
0.11 10 0.906164 -1.81877
0.12 10 0.99665 -1.80067
0.13 10 1.08624 -1.78275
0.14 10 1.17493 -1.76501
0.15 10 1.26274 -1.74745
0.16 10 1.34968 -1.73006
0.17 10 1.43575 -1.71285
0.18 10 1.52097 -1.69581
0.19 10 1.60534 -1.67893
0.2 10 1.68887 -1.66223
0.21 10 1.77156 -1.64569
0.22 10 1.85344 -1.62931
0.23 10 1.9345 -1.6131
0.24 10 2.01475 -1.59705
0.25 10 2.09421 -1.58116
0.26 10 2.17287 -1.56543
0.27 10 2.25075 -1.54985
0.28 10 2.32786 -1.53443
0.29 10 2.4042 -1.51916
0.3 10 2.47978 -1.50404
0.31 10 2.55461 -1.48908
0.32 10 2.62869 -1.47426
0.33 10 2.70204 -1.45959
0.34 10 2.77466 -1.44507
0.35 10 2.84655 -1.43069
0.36 10 2.91773 -1.41645
0.37 10 2.9882 -1.40236
0.38 10 3.05797 -1.38841
0.39 10 3.12704 -1.37459
0.4 10 3.19543 -1.36091
0.41 10 3.26314 -1.34737
0.42 10 3.33017 -1.33397
0.43 10 3.39654 -1.32069
0.44 10 3.46224 -1.30755
0.45 10 3.5273 -1.29454
0.46 10 3.5917 -1.28166
0.47 10 3.65547 -1.26891
0.48 10 3.71859 -1.25628
0.49 10 3.7811 -1.24378
0.5 10 3.84298 -1.2314
0.51 10 3.90424 -1.21915
0.52 10 3.96489 -1.20702
0.53 10 4.02495 -1.19501
0.54 10 4.0844 -1.18312
0.55 10 4.14326 -1.17135
0.56 10 4.20154 -1.15969
0.57 10 4.25923 -1.14815
0.58 10 4.31635 -1.13673
0.59 10 4.37291 -1.12542
0.6 10 4.4289 -1.11422
0.61 10 4.48433 -1.10313
0.62 10 4.53922 -1.09216
0.63 10 4.59355 -1.08129
0.64 10 4.64735 -1.07053
0.65 10 4.70061 -1.05988
0.66 10 4.75334 -1.04933
0.67 10 4.80554 -1.03889
0.68 10 4.85723 -1.02855
0.69 10 4.9084 -1.01832
0.7 10 4.95906 -1.00819
0.71 10 5.00922 -0.998156
